original_title,cast,director,keywords,runtime,genres,production_companies,release_date,release_year,budget_adj,revenue_adj,profit
The Prince & Me 2: The Royal Wedding,Luke Mably|Kam Heskin|Maryam d'Abo|Clemency Burton-Hill|Jonathan Firth,Catherine Cyran,prince|bride|sequel|royalty|wedding,96.0,Family|Comedy|Romance,Capital Arts Entertainment|Sobini Films,2006-02-21,2006,36889069.20400227,115100887.62834093,0.0
Delirious,Steve Buscemi|Michael Pitt|Alison Lohman|Gina Gershon|Elvis Costello,Tom DiCillo,,107.0,Comedy|Drama|Romance,Peace Arch Entertainment Group|Artina Films|Thema Production,2006-09-26,2006,36889069.20400227,115100887.62834093,0.0
Who Killed the Electric Car?,Martin Sheen|Mel Gibson|Tom Hanks,Chris Paine,energy supply|automobile industry|independent film,92.0,Documentary,Electric Entertainment|Plinyminor|Papercut Films,2006-01-23,2006,1081669.15829157,1815986.2264576,734317.0681660301
End Game,Cuba Gooding Jr.|Angie Harmon|James Woods|Patrick Fabian|Peter Greene,Andy Cheng,assassination|cia|helicopter|journalist|u.s. president,93.0,Action|Mystery|Thriller,Nu Image Films|North by Northwest Entertainment|Martini Films|Millennium Films|Equity Pictures Medienfonds GmbH & Co. KG III,2006-03-22,2006,5408345.79145786,115100887.62834093,-5408345.79145786
Obsluhoval jsem anglickÃ©ho krÃ¡le,Ivan Barnev|OldÅ™ich Kaiser|Julia Jentsch|MariÃ¡n Labuda|Martin Huba,JiÅ™Ã­ Menzel,expensive restaurant|luxury|adolf hitler|prague|sudetendeutsch,120.0,Comedy|Drama|Foreign,,2006-12-19,2006,36889069.20400227,115100887.62834093,0.0
Peiru Kokun,Hiroka Oyama|Minako Kawashima|Nakao Michiosu|Yasuhiro Yoshiura,Yasuhiro Yoshiura,post-apocalyptic|curiosity,23.0,Animation|Science Fiction,Directions Inc.,2006-01-18,2006,36889069.20400227,115100887.62834093,0.0
Planet Earth,David Attenborough,Alastair Fothergill,great cinematpgraphy,550.0,Documentary,,2006-12-10,2006,36889069.20400227,115100887.62834093,0.0
The Tripper,David Arquette|Courteney Cox|Richmond Arquette|Paz de la Huerta|Lukas Haas,David Arquette,hippie|psychopath|ronald reagan|serial killer|youth,93.0,Horror,Coquette Productions|Raw Entertainment,2006-04-20,2006,36889069.20400227,115100887.62834093,0.0
Akeelah and the Bee,Keke Palmer|Laurence Fishburne|Angela Bassett|Curtis Armstrong|J.R. Villarreal,Doug Atchison,black people|spelling|spelling bee,112.0,Drama,Lions Gate Films|2929 Productions|Out of the Blue... Entertainment|Starbucks Entertainment|Cinema Gypsy Productions,2006-04-28,2006,8653353.26633258,20495926.9207009,11842573.65436832
Turistas,Josh Duhamel|Melissa George|Olivia Wilde|Desmond Askew|Beau Garrett,John Stockwell,beach|brazil|culture clash|backpacker|palmen,93.0,Horror|Thriller,2929 Productions|Fox Atomic|Stone Village Pictures|BoZ Productions,2006-12-01,2006,10816691.5829157,115100887.62834093,-10816691.5829157
Mulberry Street,Nick Damici|Tim House|Antone Pagan|Larry Fleischman|Bo Corre,Jim Mickle,infection|zombies,84.0,Horror,,2006-05-23,2006,36889069.20400227,115100887.62834093,0.0
Griffin & Phoenix,Amanda Peet|Dermot Mulroney|Sarah Paulson|Blair Brown|Alison Elliott,Ed Stone,romance|cancer|doctor,102.0,Comedy|Drama|Romance,Sidney Kimmel Entertainment|Blumhouse Productions|Gold Circle Films|Griffin & Phoenix Productions|The Orphanage,2006-09-12,2006,36889069.20400227,115100887.62834093,0.0
The Black Hole,Kristy Swanson|Judd Nelson|David Selby|Heather Dawn Rally|Jennifer Lyn Quackenbush,Tibor TakÃ¡cs,alien|mankind annihilated|experiment gone wrong|colossal black hole,90.0,Thriller|Science Fiction,nu image films|Active Entertainment|Equity Pictures Medienfonds GmbH & Co. KG III,2006-06-10,2006,3785842.0540205,115100887.62834093,-3785842.0540205
Evil Aliens,Emily Booth|Sam Butler|Jamie Honeybourne|Jodie Shaw|Peter O'Connor,Jake West,wales|flying saucer|brood|alien,93.0,Comedy|Horror|Science Fiction,Falcon Media Limited,2006-03-10,2006,540834.579145786,115100887.62834093,-540834.579145786
Factory Girl,Sienna Miller|Guy Pearce|Hayden Christensen|Mena Suvari|Jimmy Fallon,George Hickenlooper,new york|alcohol|sex|infidelity|nudity,90.0,Drama,The Weinstein Company|L.I.F.T. Production|Holly Wiersma Productions,2006-12-29,2006,7571684.10804101,115100887.62834093,-7571684.10804101
"Zidane, un portrait du 21e siÃ¨cle",Zinedine Zidane,Douglas Gordon|Philippe Parreno,sport|professional soccer player|soccer,90.0,Documentary|Foreign,Anna Lena Films|Naflastrengir,2006-05-23,2006,36889069.20400227,115100887.62834093,0.0
Gray Matters,Heather Graham|Bridget Moynahan|Tom Cavanagh|Molly Shannon|Rachel Shelley,Sue Kramer,woman director,96.0,Comedy|Romance,Yari Film Group|Archer Entertainment,2006-10-21,2006,36889069.20400227,115100887.62834093,0.0
Superman: Brainiac Attacks,Tim Daly|Dana Delany|Powers Boothe|Lance Henriksen|George Dzundza,Curt Geda,dc comics|superhero|animation|super powers|superhuman strength,75.0,Animation|Action|Family,DC Comics|Warner Bros. Animation,2006-06-20,2006,36889069.20400227,115100887.62834093,0.0
Mini's First Time,Alec Baldwin|Nikki Reed|Carrie-Anne Moss|Jeff Goldblum|Luke Wilson,Nick Guthe,independent film,91.0,Comedy|Crime|Drama,Bold Films|Trigger Street Productions,2006-05-01,2006,36889069.20400227,115100887.62834093,0.0
Teen Titans: Trouble in Tokyo,Greg Cipes|Khary Payton|Tara Strong|Hynden Walch|Robert Ito,Michael Chang|Ben Jones|Matt Youngberg,,75.0,Action|Adventure|Animation|Family|Science Fiction,DC Comics|Warner Bros. Feature Animation,2006-09-15,2006,36889069.20400227,115100887.62834093,0.0
Wedding Daze,Jason Biggs|Isla Fisher|Joe Pantoliano|Joanna Gleason|Edward Herrmann,Michael Ian Black,waitress|inventor|restaurant|arrest|marriage,90.0,Comedy|Romance,Warner Bros. Pictures|Fugitive Films|GreeneStreet Films,2006-09-09,2006,36889069.20400227,115100887.62834093,0.0
The Last Winter,Ron Perlman|James Le Gros|Connie Britton|Zach Gilford|Kevin Corrigan,Larry Fessenden,hallucination|sanity,101.0,Horror|Thriller,Glass Eye Pix|Zik Zak Kvikmyndir|Antidote Films|CoproducciÃ³n USA-Islandia,2006-09-11,2006,36889069.20400227,115100887.62834093,0.0
This Film Is Not Yet Rated,Kimberly Peirce|Jon Lewis|David Ansen|Martin Garbus|Wayne Kramer,Kirby Dick,,98.0,Documentary,British Broadcasting Corporation (BBC)|Independent Film Channel (IFC)|NetFlix,2006-01-26,2006,36889069.20400227,326857.704583389,326857.704583389
Pink Floyd: Pulse,David Gilmour|Nick Mason|Richard Wright|Sam Brown|Jon Carin,David Mallet,live concert,145.0,Music,SMV Enterprises|Columbia Music Video|EMI,2006-07-09,2006,36889069.20400227,115100887.62834093,0.0
Drake And Josh Go Hollywood,Drake Bell|Josh Peck|Miranda Cosgrove|Nancy Sullivan|Jonathan Goldstein,Steve Hoefer,,120.0,TV Movie|Family|Comedy|Adventure|Crime,Nickelodeon Movies|Schneiders Bakery,2006-01-01,2006,36889069.20400227,115100887.62834093,0.0
Waist Deep,Tyrese Gibson|Meagan Good|Larenz Tate|Henry Hunter Hall|Jayceon Terrell Taylor,Vondie Curtis-Hall,ex-detainee|baby-snatching|drug lord|hoodlum,97.0,Action|Adventure|Drama|Thriller,RSVP Productions,2006-06-23,2006,36889069.20400227,23097209.2827549,23097209.2827549
Trailer Park Boys: The Movie,John Paul Tremblay|Robb Wells|Mike Smith|Patrick Roach|Lucy Decoutere,Mike Clattenburg,trailer park|canada|van,95.0,Action|Comedy,Alliance Films,2006-10-06,2006,5408345.79145786,4146586.28999485,-1261759.50146301
Pledge This!,Paris Hilton|Paula GarcÃ©s|Sarah Carter|Simon Rex|Geoffrey Arend,William Heins,college|sorority|soro,91.0,Comedy,Paris Hilton Entertainment|Pledge This Holdings,2006-12-01,2006,8977854.01382005,115100887.62834093,-8977854.01382005
10.5: Apocalypse,Kim Delaney|Beau Bridges|Melissa Carter|John Cassini|David Cubitt,John Lafia,earthquake,169.0,Drama|Thriller,Hallmark Entertainment,2006-03-18,2006,36889069.20400227,115100887.62834093,0.0
Jesus Camp,Becky Fischer|Mike Papantonio|Ted Haggard|Lou Engle,Heidi Ewing|Rachel Grady,christianity|religious education|summer camp|god|independent film,87.0,Documentary,,2006-09-15,2006,36889069.20400227,115100887.62834093,0.0
Hoot,Luke Wilson|Logan Lerman|Brie Larson|Tim Blake Nelson|Cody Linley,Wil Shriner,owl|young teens|animal protection|based on young adult book,91.0,Drama|Family,The Kennedy/Marshall Company|Hoot Productions LLC|Walden Media,2006-05-05,2006,36889069.20400227,115100887.62834093,0.0
The Cheetah Girls 2,Raven-SymonÃ©|Adrienne Bailon|Kiely Williams|Sabrina Bryan,Kenny Ortega,spain|music festival|sequel|summer vacation|girl group,96.0,Comedy|Drama|Family|Music|TV Movie,Disney Channel|BrownHouse Productions,2006-07-31,2006,36889069.20400227,115100887.62834093,0.0
Jesse Stone: Death in Paradise,Tom Selleck|Viola Davis|Kohl Sudduth|Orla Brady|Gary Basaraba,Robert Harmon,cop|new england|jesse stone,87.0,Drama|Thriller|Crime|Mystery,Brandman Productions,2006-04-30,2006,36889069.20400227,115100887.62834093,0.0
Old Joy,Daniel London|Will Oldham|Tanya Smith|Robin Rosenberg|Keri Moran,Kelly Reichardt,woman director,73.0,Drama,Film Science|Washington Square Films|Van Hoy/Knudsen Productions,2006-01-01,2006,324500.747487471,115100887.62834093,-324500.747487471
First Snow,Guy Pearce|Piper Perabo|Steven Michael Quezada|J.K. Simmons|Nicholas Ballas,Mark Fergus,psychic power|salesman,101.0,Drama|Thriller,Yari Film Group|Furst Films,2006-05-05,2006,8653353.26633258,413486.424132644,-8239866.842199936
Bella,Tammy Blanchard|AngÃ©lica AragÃ³n|Ali Landry|Jaime Tirelli|Manny PÃ©rez,Alejandro Monteverde,waitress|beach|independent film|soccer|girl,91.0,Drama|Romance,"Mpower Pictures|Metanoia Films|Burnside Entertainment|Bella Productions|One Media, The",2006-09-09,2006,36889069.20400227,115100887.62834093,0.0
The Bridge,Eric Geleynse|Susan Ginwalla|Caroline Pressley|Gene Sprague|Elizabeth 'Lisa' Smith,Eric Steel,suicide|san francisco|suicide attempt|dying and death|jumping,93.0,Documentary,,2006-10-27,2006,36889069.20400227,115100887.62834093,0.0
For Your Consideration,Catherine O'Hara|Harry Shearer|Parker Posey|Christopher Moynihan|John Michael Higgins,Christopher Guest,,86.0,Comedy|Drama,Shangri-La Entertainment,2006-11-22,2006,12980029.8994988,5994637.51698085,-6985392.38251795
Changement d'adresse,Fanny Valette|FrÃ©dÃ©rique Bel|Dany Brillant|Emmanuel Mouret,Emmanuel Mouret,,85.0,Comedy|Romance,Moby Dick Films,2006-06-21,2006,36889069.20400227,115100887.62834093,0.0
Beer League,Artie Lange|Ralph Macchio|Anthony DeSando|Jimmy Palumbo|Joe Lo Truglio,Frank Sebastiano,baseball|sport,86.0,Comedy,Identity Films|CKRush Entertainment,2006-09-15,2006,36889069.20400227,115100887.62834093,0.0
L'Ivresse du pouvoir,Isabelle Huppert|FranÃ§ois BerlÃ©and|Patrick Bruel|Marilyne Canto|Robin Renucci,Claude Chabrol,judge|wife husband relationship|konzern|financial transactions,110.0,Drama,Angoa-Agicoa|Procirep|Integral Film|Canal+|CinÃ©CinÃ©ma,2006-02-16,2006,36889069.20400227,115100887.62834093,0.0
Venus,Peter O'Toole|Leslie Phillips|Beatrice Savoretti|Philip Fox|Lolita Chakrabarti,Roger Michell,beach|bar|wife husband relationship|grandfather granddaughter relationship,95.0,Drama|Comedy|Romance,,2006-09-02,2006,36889069.20400227,115100887.62834093,0.0
Kiwi!,,Dony Permedi,,3.0,Animation|Action,,2006-01-01,2006,36889069.20400227,115100887.62834093,0.0
Feng kuang de shi tou,Guo Tao|Liu Hua|Liu Gang|Xu Zheng|Huang Bo,Ning Hao,,98.0,Action|Comedy,,2006-01-01,2006,36889069.20400227,115100887.62834093,0.0
Thr3e,Marc Blucas|Justine Waddell|Bill Moseley|Priscilla Barnes|Jack Ryan,Robby Henson,,101.0,Drama|Horror|Thriller,MovieRoom Productions,2006-12-01,2006,36889069.20400227,115100887.62834093,0.0
Offside,Sima Mobarak-Shahi|Shayesteh Irani|Ayda Sadeqi|Golnaz Farmani|Mahnaz Zabihi,Jafar Panahi,,93.0,Drama|Comedy|Foreign,Jafar Panahi Film Productions,2006-05-26,2006,2704.17289572893,115100887.62834093,-2704.17289572893
Jean-Philippe,Fabrice Luchini|Johnny Hallyday|Jackie Berroyer|BenoÃ®t Poelvoorde|Guilaine Londez,Laurent Tuel,,102.3638545320288,Comedy,FidÃ©litÃ© Productions|StudioCanal|TF1 Films Production|Bankable,2006-04-05,2006,36889069.20400227,115100887.62834093,0.0
Imprint,Billy Drago|Youki Kudoh|Miho Ninagawa|MichiÃ©|Magy,Takashi Miike,,63.0,Horror,,2006-04-07,2006,36889069.20400227,115100887.62834093,0.0
Dane Cook: Vicious Circle,Dane Cook,Marty Callner|Dane Cook,stand-up,132.0,Comedy,,2006-09-04,2006,36889069.20400227,115100887.62834093,0.0
Doogal,Daniel Tay|Jimmy Fallon|Jon Stewart|Whoopi Goldberg|William H. Macy,Dave Borthwick|Jean Duval|Frank Passingham,,85.0,Family,,2006-02-24,2006,36889069.20400227,115100887.62834093,0.0
Read It and Weep,Kay Panabaker|Danielle Panabaker|Allison Scagliotti|Marquise Brown|Alexandra Krosney,Paul Hoen,based on novel|secret|puberty|book|one-sided love,90.0,Comedy|Drama|Family|TV Movie,Salty Pictures|Just Singer Entertainment,2006-07-21,2006,36889069.20400227,115100887.62834093,0.0
Five Fingers,Laurence Fishburne|Ryan Phillippe|Touriya Haoud|Colm Meaney|Gina Torres,Laurence Malkin,terrorist|morocco|befragung|torture,87.0,Drama|Action|Thriller,,2006-05-01,2006,36889069.20400227,115100887.62834093,0.0
Root of All Evil?,Richard Dawkins|Ted Haggard|Yousef al-Khattab|Richard Harries,Russell Barnes,skepticism,93.0,Documentary,,2006-01-09,2006,36889069.20400227,115100887.62834093,0.0
Jane Eyre,Ruth Wilson|Toby Stephens|Lorraine Ashbourne|Pam Ferris|Ned Irish,Susanna White,woman director,202.0,Drama,,2006-09-24,2006,36889069.20400227,115100887.62834093,0.0
Lage Raho Munna Bhai,Sanjay Dutt|Arshad Warsi|Dilip Prabhavalkar|Vidya Balan|Dia Mirza,Rajkumar Hirani,historical figure|comedy|bollywood|india,144.0,Comedy|Drama|Romance,,2006-01-01,2006,36889069.20400227,115100887.62834093,0.0
Karla,Laura Prepon|Misha Collins|Patrick Bauchau|Emilie Jacobs|Alex Boyd,Joel Bender,rape|small town|biography|sexual harassment|domestic violence,99.0,Crime|Drama|Thriller,Quantum Entertainment,2006-01-20,2006,36889069.20400227,115100887.62834093,0.0
Strangers with Candy,Amy Sedaris|Stephen Colbert|Paul Dinello|Greg Hollimon|Philip Seymour Hoffman,Paul Dinello,independent film,97.0,Comedy,,2006-07-28,2006,36889069.20400227,115100887.62834093,0.0
The Foot Fist Way,Danny McBride|Ben Best|Mary Jane Bostic|Jody Hill|Collette Wolfe,Jody Hill,north carolina|sport|tae kwon do|independent film|dark comedy,85.0,Comedy,Gary Sanchez Productions,2006-06-24,2006,85451.8635050342,265008.943781435,179557.08027640084
Population 436,James Blicq|Cory Cassidy|Fred Durst|Leigh Enns|David Fox,Michelle MacLaren,mayor|barn|flat tire|census taker|woman director,88.0,Drama|Horror|Mystery|Thriller,Pariah Entertainment Group,2006-09-05,2006,36889069.20400227,115100887.62834093,0.0
Dark Ride,Patrick Renna|David Clayton Rogers|Alex Solowitz|Andrea Bogart|Jennifer Tisdale,Craig Singer,carnival|psychopath|road trip,94.0,Horror|Thriller,,2006-10-20,2006,36889069.20400227,115100887.62834093,0.0
Special,Michael Rapaport|Josh Peck|Robert Baker|Jack Kehler|Alexandra Holden,Hal Haberman|Jeremy Passmore,hallucination|superhero|independent film,81.0,Drama|Fantasy|Science Fiction,Rival Pictures,2006-01-30,2006,1081669.15829157,7790.1812780159,-1073878.977013554
Penny Dreadful,Rachel Miner|Mimi Rogers|Chad Todhunter|Mickey Jones|Liz Davies,Richard Brandes,phobia|psychologist,92.0,Horror|Thriller,Brandes Films International,2006-11-10,2006,36889069.20400227,115100887.62834093,0.0
Bring It On: All or Nothing,Hayden Panettiere|Solange Knowles|Gus Carr|Marcy Rylan|Gus Carr,Steve Rash,profession|dance|cheerleader|music video|sport,99.0,Comedy,Universal Studios Home Entertainment,2006-08-08,2006,36889069.20400227,115100887.62834093,0.0
Idlewild,AndrÃ© Benjamin|Paula Patton|Terrence Howard|Faizon Love|Malinda Williams,Bryan Barber,mortician|tied to chair|song and dance|piano lesson|fisticuffs,121.0,Action|Crime|Drama|Music|Thriller,Atlas Entertainment|Forensic Films|HBO Films,2006-08-25,2006,36889069.20400227,115100887.62834093,0.0
Comme t'y es belle,MichÃ¨le Laroque|Aure Atika|ValÃ©rie Benguigui|Thierry Neuvic|Alexandre Astier,Lisa Azuelos,woman director,85.0,Comedy,,2006-05-10,2006,36889069.20400227,115100887.62834093,0.0
The Protector,Tony Dadika|Greg Depetro|Brandon Slagle|Benjamin Toth|Andrew Finnerty,Chris R. Notarile,superhero,14.0,Drama|Action|Foreign,Blinky Productions,2006-10-15,2006,36889069.20400227,115100887.62834093,0.0
Quand j'Ã©tais chanteur,GÃ©rard Depardieu|CÃ©cile De France|Mathieu Amalric|Christine Citti|Patrick Pineau,Xavier Giannoli,musical,112.0,Drama|Romance,,2006-09-13,2006,36889069.20400227,115100887.62834093,0.0
Desperation,Steven Weber|Tom Skerritt|Charles Durning|Annabeth Gish|Matt Frewer,Mick Garris,sheriff|nevada|highway|psychopath|serial killer,131.0,Drama|Fantasy|Horror|Thriller|Mystery,Buena Vista|Touchstone Television|Sennet Entertainment,2006-05-23,2006,36889069.20400227,115100887.62834093,0.0
The Zodiac,Justin Chambers|Robin Tunney|Rory Culkin|William Mapother,Alexander Bulkley,california|serial killer|reporter|family conflict,158.0,Crime|Drama|Thriller,,2006-03-17,2006,36889069.20400227,115100887.62834093,0.0
Deutschland. Ein SommermÃ¤rchen,Jens Lehmann|Arne Friedrich|Philipp Lahm|Torsten Frings|Michael Ballack,SÃ¶nke Wortmann,,107.0,Documentary,Little Shark Entertainment GmbH,2006-10-03,2006,36889069.20400227,115100887.62834093,0.0
Hell,Nicolas Duvauchelle|Christiane Millet|Didier Sandre|Anne-Marie Philipe|Louise Monot,Bruno Chiche,,100.0,Drama,,2006-03-01,2006,36889069.20400227,115100887.62834093,0.0
How to Eat Fried Worms,Luke Benward|Hallie Kate Eisenberg|Adam Hicks|Austin Rogers|Alexander Gould,Bob Dolman,,98.0,Comedy|Drama|Family,New Line Cinema,2006-01-01,2006,36889069.20400227,14086313.5211565,14086313.5211565
ì§íŒ¨,Ahn Jae-mo|Ahn Gil-kang|Jeong Seok-yong|Lee Beom-soo|Ryoo Seung-wan,Ryoo Seung-wan,revenge|organized crime|gore,92.0,Action|Thriller,Weyunaegang Productions,2006-05-25,2006,2920506.72738724,115100887.62834093,-2920506.72738724
Khosla Ka Ghosla!,Anupam Kher|Boman Irani|Parvin Dabas|Tara Sharma|Navin Nischol,Dibakar Banerjee,bollywood,135.0,Comedy,UTV Motion Pictures,2006-09-22,2006,36889069.20400227,115100887.62834093,0.0
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe|Rupert Grint|Emma Watson|Gary Oldman|David Thewlis,Alfonso CuarÃ³n,flying|traitor|cutting the cord|child hero|broom,141.0,Adventure|Fantasy|Family,1492 Pictures|Warner Bros.|Heyday Films|P of A Productions Limited,2004-05-31,2004,150077901.975579,911786234.115985,761708332.140406
Kill Bill: Vol. 2,Uma Thurman|David Carradine|Daryl Hannah|Michael Madsen|Gordon Liu Chia-Hui,Quentin Tarantino,brother brother relationship|swordplay|katana|mother role|rage and hate,136.0,Action|Crime|Thriller,Miramax Films|A Band Apart|Super Cool ManChu,2004-04-16,2004,34633361.9943644,175659789.789346,141026427.7949816
Bridget Jones: The Edge of Reason,RenÃ©e Zellweger|Hugh Grant|Colin Firth|Jim Broadbent|Gemma Jones,Beeban Kidron,london|lovesickness|thailand|clumsy fellow|to drop brick,108.0,Comedy|Romance,Miramax Films|Universal Pictures|Studio Canal|Working Title Films|Atlantic Television,2004-11-10,2004,57722269.9906074,46412191.4975558,-11310078.493051603
Eternal Sunshine of the Spotless Mind,Jim Carrey|Kate Winslet|Elijah Wood|Mark Ruffalo|Kirsten Dunst,Michel Gondry,deja vu|lovesickness|jealousy|amnesia|loss of sense of reality,108.0,Science Fiction|Drama|Romance,Anonymous Content|This Is That Productions|Focus Features,2004-03-19,2004,23088907.9962429,83418061.1597466,60329153.16350371
The Notebook,Rachel McAdams|Ryan Gosling|Gena Rowlands|James Garner|Sam Shepard,Nick Cassavetes,poem|river|sadness|fight|love of one's life,123.0,Romance|Drama,New Line Cinema,2004-06-25,2004,33478916.5945523,133457615.92248,99978699.32792771
The Incredibles,Craig T. Nelson|Holly Hunter|Samuel L. Jackson|Jason Lee|Dominique Louis,Brad Bird,secret identity|secret|hero|island|wretch,115.0,Action|Adventure|Animation|Family|Science Fiction,Walt Disney Pictures|Pixar Animation Studios,2004-11-05,2004,106208976.782717,728965418.357159,622756441.574442
The Bourne Supremacy,Matt Damon|Franka Potente|Brian Cox|Julia Stiles|Karl Urban,Paul Greengrass,berlin|assassin|based on novel|amnesia|sniper,108.0,Action|Drama|Thriller,Universal Pictures|The Kennedy/Marshall Company|Hypnotic|Motion Picture THETA Produktionsgesellschaft|Ludlum Entertainment,2004-07-23,2004,86583404.9859111,333057748.360456,246474343.3745449
Troy,Brad Pitt|Orlando Bloom|Eric Bana|Brian Cox|Sean Bean,Wolfgang Petersen,brother brother relationship|adultery|beauty|trojan war|bravery,163.0,War|Adventure|Drama,Plan B Entertainment|Warner Bros.|Nimar Studios|Radiant Productions|Helena Productions,2004-05-13,2004,202027944.967126,574232515.462641,372204570.495515
National Treasure,Nicolas Cage|Diane Kruger|Justin Bartha|Sean Bean|Jon Voight,Jon Turteltaub,riddle|treasure|treasure hunt|archaeologist|archeologyÂ ,131.0,Adventure|Action|Thriller|Mystery,Walt Disney Pictures|Jerry Bruckheimer Films|Saturn Films|Junction Entertainment,2004-11-19,2004,115444539.981214,401114240.684318,285669700.703104
"I, Robot",Will Smith|Bridget Moynahan|Alan Tudyk|James Cromwell|Bruce Greenwood,Alex Proyas,suicide|artificial intelligence|man vs machine|chicago|based on novel,115.0,Action|Science Fiction,Twentieth Century Fox Film Corporation|Laurence Mark Productions|Davis Entertainment|Overbrook Entertainment|Mediastream Vierte Film GmbH & Co. Vermarktungs KG,2004-07-15,2004,138533447.977457,400863751.430357,262330303.4529
50 First Dates,Adam Sandler|Drew Barrymore|Rob Schneider|Sean Astin|Lusia Strus,Peter Segal,deja vu|amnesia|hawaii|ladykiller|romantic comedy,99.0,Comedy|Romance,Columbia Pictures Corporation|Happy Madison Productions|Anonymous Content|Flower Films (II),2004-02-13,2004,86583404.9859111,226828759.266733,140245354.2808219
Mean Girls,Lindsay Lohan|Rachel McAdams|Tim Meadows|Ana Gasteyer|Amy Poehler,Mark Waters,female friendship|high school|fish out of water|best friend|teenager,97.0,Comedy,Paramount Pictures,2004-04-30,2004,19625571.7968065,148972948.804502,129347377.00769551
Van Helsing,Hugh Jackman|Kate Beckinsale|Richard Roxburgh|David Wenham|Shuler Hensley,Stephen Sommers,transylvania|vatican|dracula|frankenstein|werewolf,132.0,Horror|Adventure|Action,"Universal Pictures|Stillking Films|Sommers Company, The",2004-05-05,2004,184711263.969943,346630860.772961,161919596.80301803
Hellboy,Ron Perlman|Selma Blair|Rupert Evans|John Hurt|Jeffrey Tambor,Guillermo del Toro,fistfight|coverup|superhero|paranormal phenomena|person on fire,122.0,Fantasy|Action|Science Fiction,Revolution Studios|Dark Horse Entertainment|Lawrence Gordon Productions|Starlite Films,2004-04-02,2004,76193396.3876018,114658347.656152,38464951.2685502
The Polar Express,Tom Hanks|Michael Jeter|Eddie Deezen|Chris Coppola|Nona Gaye,Robert Zemeckis,santa claus|nerd|faith|gift|bell,100.0,Animation|Adventure|Family|Fantasy,Castle Rock Entertainment|Golden Mean|Universal CGI|Shangri-La Entertainment|Playtone,2004-11-09,2004,190483490.969004,353116829.412682,162633338.443678
Shrek 2,Mike Myers|Eddie Murphy|Cameron Diaz|Julie Andrews|Antonio Banderas,Andrew Adamson|Kelly Asbury|Conrad Vernon,prison|liberation|honeymoon|parents-in-law|kingdom,93.0,Adventure|Animation|Comedy|Family|Fantasy,DreamWorks SKG|Pacific Data Images (PDI)|DreamWorks Animation,2004-05-19,2004,173166809.971822,1061903622.74202,888736812.770198
The Butterfly Effect,Ashton Kutcher|Amy Smart|William Lee Scott|Elden Henson|Melora Walters,Eric Bress|J. Mackye Gruber,amnesia|chaos theory|blackout|time travel|flashback,113.0,Science Fiction|Thriller,New Line Cinema|FilmEngine|Katalyst Films|BenderSpink|Province of British Columbia Production Services Tax Credit,2004-01-22,2004,15007790.1975579,110897015.620108,95889225.4225501
Resident Evil: Apocalypse,Milla Jovovich|Sienna Guillory|Oded Fehr|Thomas Kretschmann|Sophie Vavasseur,Alexander Witt,martial arts|mutant|dystopia|rescue|conspiracy,94.0,Horror|Action|Science Fiction,Impact Pictures|Constantin Film Ltd.,2004-09-10,2004,51950042.9915466,149379272.025202,97429229.0336554
Ocean's Twelve,George Clooney|Brad Pitt|Catherine Zeta-Jones|Julia Roberts|Andy GarcÃ­a,Steven Soderbergh,fabergÃ© egg|dutch eastindian company|second|part|part of trilogy,125.0,Thriller|Crime,Village Roadshow Pictures|Section Eight|Jerry Weintraub Productions|Warner Bros.|WV Films III,2004-12-09,2004,126988993.979336,418768465.354169,291779471.374833
Meet the Fockers,Ben Stiller|Teri Polo|Robert De Niro|Dustin Hoffman|Barbra Streisand,Jay Roach,cia|parents kids relationship|florida|anti-authoritarian upbringing|jew,115.0,Comedy|Romance,DreamWorks SKG|Universal Pictures|Everyman Pictures|Tribeca Productions,2004-12-15,2004,92355631.9849719,596436064.273978,504080432.2890061
The Day After Tomorrow,Dennis Quaid|Jake Gyllenhaal|Emmy Rossum|Dash Mihok|Jay O. Sanders,Roland Emmerich,saving the world|library|cataclysm|climate change|greenhouse effect,124.0,Action|Adventure|Science Fiction|Thriller,Lions Gate Films|Twentieth Century Fox Film Corporation|Centropolis Entertainment|Mark Gordon Productions|Mel's Cite du Cinema,2004-05-26,2004,144305674.976518,628332770.733608,484027095.75709
The Aviator,Leonardo DiCaprio|Cate Blanchett|Kate Beckinsale|John C. Reilly|Alec Baldwin,Martin Scorsese,ladykiller|pilot|biography|womanizer|aviation,170.0,Drama,Appian Way|Forward Pass|Cappa Productions|Warner Bros.|Initial Entertainment Group (IEG),2004-12-25,2004,133915666.378209,117753430.780839,-16162235.597369999
Collateral,Tom Cruise|Jamie Foxx|Jada Pinkett Smith|Mark Ruffalo|Peter Berg,Michael Mann,california|taxi|assassin|hostage|taxi driver,120.0,Drama|Crime|Thriller,Paramount Pictures|DreamWorks SKG|Parkes/MacDonald Productions|Edge City,2004-08-04,2004,75038950.9877896,251396983.988304,176358033.0005144
Shaun of the Dead,Simon Pegg|Nick Frost|Kate Ashfield|Lucy Davis|Dylan Moran,Edgar Wright,record collection|flower|cheese|pub|surrey,99.0,Horror|Comedy,Universal Pictures|Big Talk Productions|StudioCanal|Film4|Working Title Films,2004-04-09,2004,4617781.59924859,34678837.9075538,30061056.30830521
